parent,term,tree,code
Central Karoo District Municipality (DC5),Beaufort West Local Municipality (WC053),regions,WC053
Central Karoo District Municipality (DC5),Laingsburg Local Municipality (WC051),regions,WC051
Central Karoo District Municipality (DC5),Prince Albert Local Municipality (WC052),regions,WC052
Chris Hani District Municipality (DC13),Emalahleni Local Municipality (EC136),regions,EC136
Chris Hani District Municipality (DC13),Engcobo Local Municipality (EC137),regions,EC137
Chris Hani District Municipality (DC13),Enoch Mgijima Local Municipality (EC139),regions,EC139
Chris Hani District Municipality (DC13),Intsika Yethu Local Municipality (EC135),regions,EC135
Chris Hani District Municipality (DC13),Inxuba Yethemba Local Municipality (EC131),regions,EC131
Chris Hani District Municipality (DC13),Sakhisizwe Local Municipality (EC138),regions,EC138
City of Cape Town (CPT),City of Cape Town Metropolitan Municipality (CPT),regions,CPT
City of Johannesburg (JHB),City of Johannesburg Metropolitan Municipality (JHB),regions,JHB
City of Tshwane (TSH),City of Tshwane Metropolitan Municipality (TSH),regions,TSH
Dr Kenneth Kaunda District Municipality (DC40),City of Matlosana Local Municipality (NW403),regions,NW403
Dr Kenneth Kaunda District Municipality (DC40),Maquassi Hills Local Municipality (NW404),regions,NW404
Dr Kenneth Kaunda District Municipality (DC40),Ventersdorp/Tlokwe Local Municipality (NW405),regions,NW405
Dr Ruth Segomotsi Mompati District Municipality (DC39),Greater Taung Local Municipality (NW394),regions,NW394
Dr Ruth Segomotsi Mompati District Municipality (DC39),Kagisano/Molopo Local Municipality (NW397),regions,NW397
Dr Ruth Segomotsi Mompati District Municipality (DC39),Lekwa-Teemane Local Municipality (NW396),regions,NW396
Dr Ruth Segomotsi Mompati District Municipality (DC39),Mamusa Local Municipality (NW393),regions,NW393
Dr Ruth Segomotsi Mompati District Municipality (DC39),Naledi Local Municipality (NW392),regions,NW392
Eden District Municipality (DC4),Bitou Local Municipality (WC047),regions,WC047
Eden District Municipality (DC4),George Local Municipality (WC044),regions,WC044
Eden District Municipality (DC4),Hessequa Local Municipality (WC042),regions,WC042
Eden District Municipality (DC4),Kannaland Local Municipality (WC041),regions,WC041
Eden District Municipality (DC4),Knysna Local Municipality (WC048),regions,WC048
Eden District Municipality (DC4),Mossel Bay Local Municipality (WC043),regions,WC043
Eden District Municipality (DC4),Oudtshoorn Local Municipality (WC045),regions,WC045
Ehlanzeni District Municipality (DC32),Bushbuckridge Local Municipality (MP325),regions,MP325
Ehlanzeni District Municipality (DC32),City of Mbombela Local Municipality (MP326),regions,MP326
Ehlanzeni District Municipality (DC32),Nkomazi Local Municipality (MP324),regions,MP324
Ehlanzeni District Municipality (DC32),Thaba Chweu Local Municipality (MP321),regions,MP321
Ekurhuleni (EKU),Ekurhuleni Metropolitan Municipality (EKU),regions,EKU
eThekwini (ETH),Ethekwini Metropolitan Municipality (ETH),regions,ETH
Fezile Dabi District Municipality (DC20),Mafube Local Municipality (FS205),regions,FS205
Fezile Dabi District Municipality (DC20),Metsimaholo Local Municipality (FS204),regions,FS204
Fezile Dabi District Municipality (DC20),Moqhaka Local Municipality (FS201),regions,FS201
Fezile Dabi District Municipality (DC20),Ngwathe Local Municipality (FS203),regions,FS203
Frances Baard District Municipality (DC9),Dikgatlong Local Municipality (NC092),regions,NC092
Frances Baard District Municipality (DC9),Magareng Local Municipality (NC093),regions,NC093
Frances Baard District Municipality (DC9),Phokwane Local Municipality (NC094),regions,NC094
Frances Baard District Municipality (DC9),Sol Plaatjie Local Municipality (NC091),regions,NC091
Gert Sibande District Municipality (DC30),Chief Albert Luthuli Local Municipality (MP301),regions,MP301
Gert Sibande District Municipality (DC30),Dipaleseng Local Municipality (MP306),regions,MP306
Gert Sibande District Municipality (DC30),Dr Pixley Ka Isaka Seme Local Municipality (MP304),regions,MP304
Gert Sibande District Municipality (DC30),Govan Mbeki Local Municipality (MP307),regions,MP307
Gert Sibande District Municipality (DC30),Lekwa Local Municipality (MP305),regions,MP305
Gert Sibande District Municipality (DC30),Mkhondo Local Municipality (MP303),regions,MP303
Gert Sibande District Municipality (DC30),Msukaligwa Local Municipality (MP302),regions,MP302
Harry Gwala District Municipality (DC43),Dr Nkosazana Dlamini Zuma Local Municipality (KZN436),regions,KZN436
Harry Gwala District Municipality (DC43),Greater Kokstad Local Municipality (KZN433),regions,KZN433
Harry Gwala District Municipality (DC43),Ubuhlebezwe Local Municipality (KZN434),regions,KZN434
Harry Gwala District Municipality (DC43),Umzimkhulu Local Municipality (KZN435),regions,KZN435
iLembe District Municipality (DC29),KwaDukuza Local Municipality (KZN292),regions,KZN292
iLembe District Municipality (DC29),Mandeni Local Municipality (KZN291),regions,KZN291
iLembe District Municipality (DC29),Maphumulo Local Municipality (KZN294),regions,KZN294
iLembe District Municipality (DC29),Ndwedwe Local Municipality (KZN293),regions,KZN293
Joe Gqabi District Municipality (DC14),Elundini Local Municipality (EC141),regions,EC141
Joe Gqabi District Municipality (DC14),Senqu Local Municipality (EC142),regions,EC142
Joe Gqabi District Municipality (DC14),Walter Sisulu Local Municipality (EC145),regions,EC145
John Taolo Gaetsewe District Municipality (DC45),Gamagara Local Municipality (NC453),regions,NC453
John Taolo Gaetsewe District Municipality (DC45),Ga-Segonyana Local Municipality (NC452),regions,NC452
John Taolo Gaetsewe District Municipality (DC45),Joe Morolong Local Municipality (NC451),regions,NC451
Lejweleputswa District Municipality (DC18),Masilonyana Local Municipality (FS181),regions,FS181
Lejweleputswa District Municipality (DC18),Matjhabeng Local Municipality (FS184),regions,FS184
Lejweleputswa District Municipality (DC18),Nala Local Municipality (FS185),regions,FS185
Lejweleputswa District Municipality (DC18),Tokologo Local Municipality (FS182),regions,FS182
Lejweleputswa District Municipality (DC18),Tswelopele Local Municipality (FS183),regions,FS183
Mangaung (MAN),Mangaung Metropolitan Municipality (MAN),regions,MAN
Mopani District Municipality (DC33),Ba-Phalaborwa Local Municipality (LIM334),regions,LIM334
Mopani District Municipality (DC33),Greater Giyani Local Municipality (LIM331),regions,LIM331
Mopani District Municipality (DC33),Greater Letaba Local Municipality (LIM332),regions,LIM332
Mopani District Municipality (DC33),Greater Tzaneen Local Municipality (LIM333),regions,LIM333
Mopani District Municipality (DC33),Maruleng Local Municipality (LIM335),regions,LIM335
Namakwa District Municipality (DC6),Hantam Local Municipality (NC065),regions,NC065
Namakwa District Municipality (DC6),Kamiesberg Local Municipality (NC064),regions,NC064
Namakwa District Municipality (DC6),Karoo Hoogland Local Municipality (NC066),regions,NC066
Namakwa District Municipality (DC6),Khai-Ma Local Municipality (NC067),regions,NC067
Namakwa District Municipality (DC6),Nama Khoi Local Municipality (NC062),regions,NC062
Namakwa District Municipality (DC6),Richtersveld Local Municipality (NC061),regions,NC061
Nelson Mandela Bay (NMA),Nelson Mandela Bay Metropolitan Municipality (NMA),regions,NMA
Ngaka Modiri Molema District Municipality (DC38),Ditsobotla Local Municipality (NW384),regions,NW384
Ngaka Modiri Molema District Municipality (DC38),Mafikeng Local Municipality (NW383),regions,NW383
Ngaka Modiri Molema District Municipality (DC38),Ramotshere Moiloa Local Municipality (NW385),regions,NW385
Ngaka Modiri Molema District Municipality (DC38),Ratlou Local Municipality (NW381),regions,NW381
Ngaka Modiri Molema District Municipality (DC38),Tswaing Local Municipality (NW382),regions,NW382
Nkangala District Municipality (DC31),Dr JS Moroka Local Municipality (MP316),regions,MP316
Nkangala District Municipality (DC31),Emakhazeni Local Municipality (MP314),regions,MP314
Nkangala District Municipality (DC31),Emalahleni Local Municipality (MP312),regions,MP312
Nkangala District Municipality (DC31),Steve Tshwete Local Municipality (MP313),regions,MP313
Nkangala District Municipality (DC31),Thembisile Local Municipality (MP315),regions,MP315
Nkangala District Municipality (DC31),Victor Khanye Local Municipality (MP311),regions,MP311
O.R.Tambo District Municipality (DC15),King Sabata Dalindyebo Local Municipality (EC157),regions,EC157
O.R.Tambo District Municipality (DC15),Mhlontlo Local Municipality (EC156),regions,EC156
O.R.Tambo District Municipality (DC15),Ngquza Hill Local Municipality (EC153),regions,EC153
O.R.Tambo District Municipality (DC15),Nyandeni Local Municipality (EC155),regions,EC155
O.R.Tambo District Municipality (DC15),Port St Johns Local Municipality (EC154),regions,EC154
Overberg District Municipality (DC3),Cape Agulhas Local Municipality (WC033),regions,WC033
Overberg District Municipality (DC3),Overstrand Local Municipality (WC032),regions,WC032
Overberg District Municipality (DC3),Swellendam Local Municipality (WC034),regions,WC034
Overberg District Municipality (DC3),Theewaterskloof Local Municipality (WC031),regions,WC031
Pixley ka Seme District Municipality (DC7),Emthanjeni Local Municipality (NC073),regions,NC073
Pixley ka Seme District Municipality (DC7),Kareeberg Local Municipality (NC074),regions,NC074
Pixley ka Seme District Municipality (DC7),Renosterberg Local Municipality (NC075),regions,NC075
Pixley ka Seme District Municipality (DC7),Siyancuma Local Municipality (NC078),regions,NC078
Pixley ka Seme District Municipality (DC7),Siyathemba Local Municipality (NC077),regions,NC077
Pixley ka Seme District Municipality (DC7),Thembelihle Local Municipality (NC076),regions,NC076
Pixley ka Seme District Municipality (DC7),Ubuntu Local Municipality (NC071),regions,NC071
Pixley ka Seme District Municipality (DC7),Umsobomvu Local Municipality (NC072),regions,NC072
Sedibeng District Municipality (DC42),Emfuleni Local Municipality (GT421),regions,GT421
Sedibeng District Municipality (DC42),Lesedi Local Municipality (GT423),regions,GT423
Sedibeng District Municipality (DC42),Midvaal Local Municipality (GT422),regions,GT422
Sekhukhune District Municipality (DC47),Elias Motsoaledi Local Municipality (LIM472),regions,LIM472
Sekhukhune District Municipality (DC47),Ephraim Mogale Local Municipality (LIM471),regions,LIM471
Sekhukhune District Municipality (DC47),Greater Tubatse/Fetakgomo Local Municipality (LIM476),regions,LIM476
Sekhukhune District Municipality (DC47),Makhuduthamaga Local Municipality (LIM473),regions,LIM473
Thabo Mofutsanyane District Municipality (DC19),Dihlabeng Local Municipality (FS192),regions,FS192
Thabo Mofutsanyane District Municipality (DC19),Maluti a Phofung Local Municipality (FS194),regions,FS194
Thabo Mofutsanyane District Municipality (DC19),Mantsopa Local Municipality (FS196),regions,FS196
Thabo Mofutsanyane District Municipality (DC19),Nketoana Local Municipality (FS193),regions,FS193
Thabo Mofutsanyane District Municipality (DC19),Phumelela Local Municipality (FS195),regions,FS195
Thabo Mofutsanyane District Municipality (DC19),Setsoto Local Municipality (FS191),regions,FS191
Ugu District Municipality (DC21),Ray Nkonyeni Local Municipality (KZN216),regions,KZN216
Ugu District Municipality (DC21),Umdoni Local Municipality (KZN212),regions,KZN212
Ugu District Municipality (DC21),UMuziwabantu Local Municipality (KZN214),regions,KZN214
Ugu District Municipality (DC21),Umzumbe Local Municipality (KZN213),regions,KZN213
Umgungundlovu District Municipality (DC22),Impendle Local Municipality (KZN224),regions,KZN224
Umgungundlovu District Municipality (DC22),Mkhambathini Local Municipality (KZN226),regions,KZN226
Umgungundlovu District Municipality (DC22),Mpofana Local Municipality (KZN223),regions,KZN223
Umgungundlovu District Municipality (DC22),Richmond Local Municipality (KZN227),regions,KZN227
Umgungundlovu District Municipality (DC22),The Msunduzi Local Municipality (KZN225),regions,KZN225
Umgungundlovu District Municipality (DC22),uMngeni Local Municipality (KZN222),regions,KZN222
Umgungundlovu District Municipality (DC22),uMshwathi Local Municipality (KZN221),regions,KZN221
Umkhanyakude District Municipality (DC27),Big Five Hlabisa Local Municipality (KZN276),regions,KZN276
Umkhanyakude District Municipality (DC27),Jozini Local Municipality (KZN272),regions,KZN272
Umkhanyakude District Municipality (DC27),Mtubatuba Local Municipality (KZN275),regions,KZN275
Umkhanyakude District Municipality (DC27),Umhlabuyalingana Local Municipality (KZN271),regions,KZN271
Umzinyathi District Municipality (DC24),Endumeni Local Municipality (KZN241),regions,KZN241
Umzinyathi District Municipality (DC24),Msinga Local Municipality (KZN244),regions,KZN244
Umzinyathi District Municipality (DC24),Nqutu Local Municipality (KZN242),regions,KZN242
Umzinyathi District Municipality (DC24),Umvoti Local Municipality (KZN245),regions,KZN245
Uthukela District Municipality (DC23),Alfred Duma Local Municipality (KZN238),regions,KZN238
Uthukela District Municipality (DC23),Inkosi Langalibalele Local Municipality (KZN237),regions,KZN237
Uthukela District Municipality (DC23),Okhahlamba Local Municipality (KZN235),regions,KZN235
Uthungulu District Municipality (DC28),Mfolozi Local Municipality (KZN281),regions,KZN281
Uthungulu District Municipality (DC28),Mthonjaneni Local Municipality (KZN285),regions,KZN285
Uthungulu District Municipality (DC28),Nkandla Local Municipality (KZN286),regions,KZN286
Uthungulu District Municipality (DC28),uMhlathuze Local Municipality (KZN282),regions,KZN282
Uthungulu District Municipality (DC28),uMlalazi Local Municipality (KZN284),regions,KZN284
Vhembe District Municipality (DC34),Makhado Local Municipality (LIM344),regions,LIM344
Vhembe District Municipality (DC34),Musina Local Municipality (LIM341),regions,LIM341
Vhembe District Municipality (DC34),New Local Municipality (LIM345),regions,LIM345
Vhembe District Municipality (DC34),Thulamela Local Municipality (LIM343),regions,LIM343
Waterberg District Municipality (DC36),Bela-Bela Local Municipality (LIM366),regions,LIM366
Waterberg District Municipality (DC36),Lephalale Local Municipality (LIM362),regions,LIM362
Waterberg District Municipality (DC36),Modimolle/Mookgophong Local Municipality (LIM368),regions,LIM368
Waterberg District Municipality (DC36),Mogalakwena Local Municipality (LIM367),regions,LIM367
Waterberg District Municipality (DC36),Thabazimbi Local Municipality (LIM361),regions,LIM361
West Coast District Municipality (DC1),Bergrivier Local Municipality (WC013),regions,WC013
West Coast District Municipality (DC1),Cederberg Local Municipality (WC012),regions,WC012
West Coast District Municipality (DC1),Matzikama Local Municipality (WC011),regions,WC011
West Coast District Municipality (DC1),Saldanha Bay Local Municipality (WC014),regions,WC014
West Coast District Municipality (DC1),Swartland Local Municipality (WC015),regions,WC015
West Rand District Municipality (DC48),Merafong City Local Municipality (GT484),regions,GT484
West Rand District Municipality (DC48),Mogale City Local Municipality (GT481),regions,GT481
West Rand District Municipality (DC48),Rand West City Local Municipality (GT485),regions,GT485
Xhariep District Municipality (DC16),Kopanong Local Municipality (FS162),regions,FS162
Xhariep District Municipality (DC16),Letsemeng Local Municipality (FS161),regions,FS161
Xhariep District Municipality (DC16),Mohokare Local Municipality (FS163),regions,FS163
Z F Mgcawu District Municipality (DC8),!Kheis Local Municipality (NC084),regions,NC084
Z F Mgcawu District Municipality (DC8),Dawid Kruiper Local Municipality (NC087),regions,NC087
Z F Mgcawu District Municipality (DC8),Kai !Garib Local Municipality (NC082),regions,NC082
Z F Mgcawu District Municipality (DC8),Kgatelopele Local Municipality (NC086),regions,NC086
Z F Mgcawu District Municipality (DC8),Tsantsabane Local Municipality (NC085),regions,NC085
Zululand District Municipality (DC26),Abaqulusi Local Municipality (KZN263),regions,KZN263
Zululand District Municipality (DC26),eDumbe Local Municipality (KZN261),regions,KZN261
Zululand District Municipality (DC26),Nongoma Local Municipality (KZN265),regions,KZN265
Zululand District Municipality (DC26),Ulundi Local Municipality (KZN266),regions,KZN266
Zululand District Municipality (DC26),UPhongolo Local Municipality (KZN262),regions,KZN262
