parent,term,tree
,Adaptation sector,adaptationSectors
Adaptation sector,Biodiverity,adaptationSectors
Adaptation sector,Coastal Area,adaptationSectors
Adaptation sector,Disaster Risk Management,adaptationSectors
Adaptation sector,Food Security/Agriculture,adaptationSectors
Adaptation sector,Infrastructure,adaptationSectors
Adaptation sector,Public Health,adaptationSectors
Adaptation sector,Water Resources,adaptationSectors
