parent,term,tree
City of Tshwane (TSH),City of Tshwane Metropolitan Municipality (TSH),regions
Dr Kenneth Kaunda District Municipality (DC40),City of Matlosana Local Municipality (NW403),regions
Dr Kenneth Kaunda District Municipality (DC40),Maquassi Hills Local Municipality (NW404),regions
Dr Kenneth Kaunda District Municipality (DC40),Ventersdorp/Tlokwe Local Municipality (NW405),regions
Dr Ruth Segomotsi Mompati District Municipality (DC39),Greater Taung Local Municipality (NW394),regions
Dr Ruth Segomotsi Mompati District Municipality (DC39),Kagisano/Molopo Local Municipality (NW397),regions
Dr Ruth Segomotsi Mompati District Municipality (DC39),Lekwa-Teemane Local Municipality (NW396),regions
Dr Ruth Segomotsi Mompati District Municipality (DC39),Mamusa Local Municipality (NW393),regions
Dr Ruth Segomotsi Mompati District Municipality (DC39),Naledi Local Municipality (NW392),regions
Eden District Municipality (DC4),Bitou Local Municipality (WC047),regions
Eden District Municipality (DC4),George Local Municipality (WC044),regions
Eden District Municipality (DC4),Hessequa Local Municipality (WC042),regions
Eden District Municipality (DC4),Kannaland Local Municipality (WC041),regions
Eden District Municipality (DC4),Knysna Local Municipality (WC048),regions
Eden District Municipality (DC4),Mossel Bay Local Municipality (WC043),regions
Eden District Municipality (DC4),Oudtshoorn Local Municipality (WC045),regions
Ehlanzeni District Municipality (DC32),Bushbuckridge Local Municipality (MP325),regions
Ehlanzeni District Municipality (DC32),City of Mbombela Local Municipality (MP326),regions
Ehlanzeni District Municipality (DC32),Nkomazi Local Municipality (MP324),regions
Ehlanzeni District Municipality (DC32),Thaba Chweu Local Municipality (MP321),regions
Ekurhuleni (EKU),Ekurhuleni Metropolitan Municipality (EKU),regions
eThekwini (ETH),Ethekwini Metropolitan Municipality (ETH),regions
Fezile Dabi District Municipality (DC20),Mafube Local Municipality (FS205),regions
Fezile Dabi District Municipality (DC20),Metsimaholo Local Municipality (FS204),regions
Fezile Dabi District Municipality (DC20),Moqhaka Local Municipality (FS201),regions
Fezile Dabi District Municipality (DC20),Ngwathe Local Municipality (FS203),regions
Frances Baard District Municipality (DC9),Dikgatlong Local Municipality (NC092),regions
Frances Baard District Municipality (DC9),Magareng Local Municipality (NC093),regions
Frances Baard District Municipality (DC9),Phokwane Local Municipality (NC094),regions
Frances Baard District Municipality (DC9),Sol Plaatjie Local Municipality (NC091),regions
Gert Sibande District Municipality (DC30),Chief Albert Luthuli Local Municipality (MP301),regions
Gert Sibande District Municipality (DC30),Dipaleseng Local Municipality (MP306),regions
Gert Sibande District Municipality (DC30),Dr Pixley Ka Isaka Seme Local Municipality (MP304),regions
Gert Sibande District Municipality (DC30),Govan Mbeki Local Municipality (MP307),regions
Gert Sibande District Municipality (DC30),Lekwa Local Municipality (MP305),regions
Gert Sibande District Municipality (DC30),Mkhondo Local Municipality (MP303),regions
Gert Sibande District Municipality (DC30),Msukaligwa Local Municipality (MP302),regions
Harry Gwala District Municipality (DC43),Dr Nkosazana Dlamini Zuma Local Municipality (KZN436),regions
Harry Gwala District Municipality (DC43),Greater Kokstad Local Municipality (KZN433),regions
Harry Gwala District Municipality (DC43),Ubuhlebezwe Local Municipality (KZN434),regions
Harry Gwala District Municipality (DC43),Umzimkhulu Local Municipality (KZN435),regions
iLembe District Municipality (DC29),KwaDukuza Local Municipality (KZN292),regions
iLembe District Municipality (DC29),Mandeni Local Municipality (KZN291),regions
iLembe District Municipality (DC29),Maphumulo Local Municipality (KZN294),regions
iLembe District Municipality (DC29),Ndwedwe Local Municipality (KZN293),regions
Joe Gqabi District Municipality (DC14),Elundini Local Municipality (EC141),regions
Joe Gqabi District Municipality (DC14),Senqu Local Municipality (EC142),regions
Joe Gqabi District Municipality (DC14),Walter Sisulu Local Municipality (EC145),regions
John Taolo Gaetsewe District Municipality (DC45),Gamagara Local Municipality (NC453),regions
John Taolo Gaetsewe District Municipality (DC45),Ga-Segonyana Local Municipality (NC452),regions
John Taolo Gaetsewe District Municipality (DC45),Joe Morolong Local Municipality (NC451),regions
Lejweleputswa District Municipality (DC18),Masilonyana Local Municipality (FS181),regions
Lejweleputswa District Municipality (DC18),Matjhabeng Local Municipality (FS184),regions
Lejweleputswa District Municipality (DC18),Nala Local Municipality (FS185),regions
Lejweleputswa District Municipality (DC18),Tokologo Local Municipality (FS182),regions
Lejweleputswa District Municipality (DC18),Tswelopele Local Municipality (FS183),regions
Mangaung (MAN),Mangaung Metropolitan Municipality (MAN),regions
Mopani District Municipality (DC33),Ba-Phalaborwa Local Municipality (LIM334),regions
Mopani District Municipality (DC33),Greater Giyani Local Municipality (LIM331),regions
Mopani District Municipality (DC33),Greater Letaba Local Municipality (LIM332),regions
Mopani District Municipality (DC33),Greater Tzaneen Local Municipality (LIM333),regions
Mopani District Municipality (DC33),Maruleng Local Municipality (LIM335),regions
Namakwa District Municipality (DC6),Hantam Local Municipality (NC065),regions
Namakwa District Municipality (DC6),Kamiesberg Local Municipality (NC064),regions
Namakwa District Municipality (DC6),Karoo Hoogland Local Municipality (NC066),regions
Namakwa District Municipality (DC6),Khai-Ma Local Municipality (NC067),regions
Namakwa District Municipality (DC6),Nama Khoi Local Municipality (NC062),regions
Namakwa District Municipality (DC6),Richtersveld Local Municipality (NC061),regions
Nelson Mandela Bay (NMA),Nelson Mandela Bay Metropolitan Municipality (NMA),regions
Ngaka Modiri Molema District Municipality (DC38),Ditsobotla Local Municipality (NW384),regions
Ngaka Modiri Molema District Municipality (DC38),Mafikeng Local Municipality (NW383),regions
Ngaka Modiri Molema District Municipality (DC38),Ramotshere Moiloa Local Municipality (NW385),regions
Ngaka Modiri Molema District Municipality (DC38),Ratlou Local Municipality (NW381),regions
Ngaka Modiri Molema District Municipality (DC38),Tswaing Local Municipality (NW382),regions
Nkangala District Municipality (DC31),Dr JS Moroka Local Municipality (MP316),regions
Nkangala District Municipality (DC31),Emakhazeni Local Municipality (MP314),regions
Nkangala District Municipality (DC31),Emalahleni Local Municipality (MP312),regions
Nkangala District Municipality (DC31),Steve Tshwete Local Municipality (MP313),regions
Nkangala District Municipality (DC31),Thembisile Local Municipality (MP315),regions
Nkangala District Municipality (DC31),Victor Khanye Local Municipality (MP311),regions
O.R.Tambo District Municipality (DC15),King Sabata Dalindyebo Local Municipality (EC157),regions
O.R.Tambo District Municipality (DC15),Mhlontlo Local Municipality (EC156),regions
