parent,term,tree
,Adaptation sector,adaptationSectors
Adaptation sector,Biodiversity and Ecosystems,adaptationSectors
Adaptation sector,Coastal Zone,adaptationSectors
Adaptation sector,Disaster Risk Reduction and  Management,adaptationSectors
Adaptation sector,Agriculture and Commercial Forestry,adaptationSectors
Adaptation sector,Urban and Rural Settlements,adaptationSectors
Adaptation sector,Health ,adaptationSectors
Adaptation sector,Water Resources,adaptationSectors
Adaptation sector,Other (Please indicate),adaptationSectors
